ItemID,Sentiment,SentimentSource,SentimentText
0,0,tw, é tão triste para o meu APL amigo.............
1,0,tw, Eu perdi o Novo trailer de Lua...
2,1,tw, omg a sua já 730 S
3,0,tw, .. Omgaga. Im muuuito im gunna Chorar. Eu estive neste dentista desde 11.. eu era suposto 2 apenas obter uma coroa colocar em (30 minutos)...
4,0,tw, eu acho mi bf é batota em mim!!! T_T
5,0,tw, ou eu apenas preocuparse muito?
6,1,tw, Juuuuuuuuuuuuuuuuussssst Chillin!!
7,0,tw, Ensolarado em voltar a Trabalhar Amanhã  TV hoje à Noite
8,1,tw, entregou em meu uniforme de hoje . eu sinto falta de você já
9,1,tw, hmmmm.... eu me pergunto como ela o meu número )
10,0,tw, Eu, deve pensar positivo..
11,1,tw, obrigado a todos os inimigos na minha face todos os dias! 112102
12,0,tw, este fimdesemana que tem sugado até agora
13,0,tw, jb não é mostrando na austrália mais!
14,0,tw, ok é isso que você ganha.
15,0,tw, lt; Esta é a forma como me sinto agora...
16,0,tw,awhhe homem.... Eu sou completamente inútil rt agora. Engraçado
17,1,tw, Sentindose estranhamente bem. Agora vou ouvir algumas Semisonic para comemorar
18,0,tw, Rolo ENORME de trovão agora...que medo!!!!
19,0,tw, Eu só cortar minha barba fora. Ele só foi crescendo por mais de um ano. Eu vou iniciálo. shaunamanu é feliz, entretanto.
20,0,tw, Muito triste a respeito do irã.
21,0,tw, wompppp wompp
22,1,tw, Você é o único que pode ver esta causa se de que ninguém está me seguindo esta é para você, porque você é muito legal
23,0,tw, lt;Sad nível 3. Eu estava escrevendo uma enorme blog tweet no Myspace e meu comp desligar. Agora está tudo perdido *coloca em posição fetal*
24,0,tw, ... Indo para Hospitol  Tinha que puxar para fora do campo de Golfe de Tourny em 3º lugar!!!!!!!!!!! Eu Acho que eu ReRipped algo !!! Sim, isso !!
25,0,tw, Chato ) o que está errado com ele?? Por favor me diga........ /
26,0,tw, não pode ser incomodado. eu desejo que eu poderia passar o resto da minha vida a minha vida sentouse aqui e indo a shows. sério.
27,0,tw,Feeeling como merda agora. Eu realmente quero dormir
28,1,tw,adeus exames
29,0,tw, Eu não percebi foi QUE, no fundo. Aiiii dar uma garota um aviso pelo menos!
30,0,tw, Eu odeio quando qualquer atleta aparece para rasgar uma ACL na televisão ao vivo.
31,0,tw, eu sinto falta de vocês também, eu acho que eu estou vestindo calça jeans skinny, uma linda camisola e saltos não muito certa do que você está fazendo hoje
32,0,tw,  Satisfazer a sua Carne http//bit.ly/15SSCI
33,0,tw, Meu horsie está se movendo na manhã de sábado.
34,0,tw, Não Sab...Precisa para trabalhar 6 dias por semana
35,0,tw, Realmente Não Gosto de Fazer o meu Quarto é Tão Chato Doentes De Fazer Meu guardaRoupa Fora não posso Waiit Até eu Ter o Meu Pé Em Um ... 
36,0,tw,SOX! Floyd foi ótimo
37,0,tw, vezes por um milhão de
38,1,tw, upload de fotos no myspace
39,0,tw, que tipo de spaz, o download de um vírus? meu irmão, que é quem \ MSN agora é fodido para sempre (
40,0,tw, amp;amp;Fightiin Wiit As Garotas...
41,1,tw, ( !!!!!!  então, eu escrevi algo última semana. e eu recebi um telefonema de alguém do escritório de nova york... http//tumblr.com/xcn21w6o7
42,0,tw, *disse o suficiente*
43,1,tw,... Eu preciso mesmo dizer? Eu Faço? Bem
44,1,tw, ... de saúde de classe (que piada!)
45,1,tw, ginaaa lt;3 IR PARA O SHOW de hoje à NOITE
46,0,tw, Spiral_galaxy YMPtweet que realmente me faz triste quando eu olho para os Muçulmanos realidade agora
47,0,tw,  Baixa deve ser a minha motivação para o resto da semana.
48,0,tw,e o entretenimento é mais
49,0,tw, mais um ano de Lakers .. Que é magia nem divertido ...
50,0,tw, pior dia eveer.
51,1,tw, casa de banho está limpo..... agora, mais agradável tarefas......
52,1,tw, boom boom pow
53,0,tw, mas eu sou orgulhoso.
54,0,tw, parabéns a helio que
55,0,tw, Davi deve ser internado por cinco dias no final de julho (amígdalas palatinas). Eu provavelmente nunca irá ver Katie em concerto.
56,0,tw, amigos estão me deixando causa desse estúpido amor http//bit.ly/ZoxZC
57,1,tw, vá dar ur mãe de um abraço agora. http//bit.ly/azFwv
58,1,tw, Vai Ver Harry Domingo Felicidade
